IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
103.160.204.105,4,4,0.00,211.71,11.11
103.160.204.251,4,4,0.00,219.85,10.48
103.160.204.149,4,4,0.00,217.01,10.20
103.160.204.75,4,4,0.00,197.48,9.11
103.160.204.38,4,4,0.00,216.96,9.03
103.160.204.150,4,4,0.00,208.85,9.01
103.160.204.137,4,4,0.00,217.07,8.49
103.160.204.250,4,4,0.00,214.56,8.45
103.160.204.68,4,4,0.00,221.39,8.11
103.160.204.184,4,4,0.00,203.44,7.07
