IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
146.56.36.128,4,4,0.00,40.14,15.49
146.56.151.47,4,4,0.00,40.85,14.53
146.56.147.46,4,4,0.00,40.17,14.42
130.162.142.142,4,4,0.00,40.80,13.84
146.56.172.207,4,4,0.00,40.96,13.74
146.56.133.119,4,4,0.00,41.00,13.25
140.238.13.182,4,4,0.00,39.85,13.16
193.122.99.246,4,4,0.00,41.04,11.67
130.162.136.65,4,4,0.00,40.71,8.78
146.56.189.226,4,4,0.00,39.69,6.85
